event_time,open,close,high,low,volume
1562375220000,0.0037983,0.00379,0.0038012,0.00379,1029356
1562375280000,0.00379,0.003805,0.003805,0.0037898,1631692
1562375340000,0.0038036,0.003791,0.0038036,0.003791,867647
1562375400000,0.0037951,0.0037918,0.0038049,0.0037844,1349505
1562375460000,0.0037918,0.0037947,0.0037947,0.0037881,1454744
1562375520000,0.0037896,0.0037887,0.0037896,0.0037886,900286
1562375580000,0.0037887,0.0037709,0.0037887,0.0037677,1343965
1562375640000,0.0037773,0.0037721,0.0037773,0.0037626,845114
1562375700000,0.0037702,0.0037702,0.0037702,0.0037702,20790
1562375760000,0.003769,0.0037529,0.003769,0.0037335,3468199
1562375820000,0.0037502,0.003737,0.0037502,0.003737,430015
1562375880000,0.0037352,0.0037378,0.003765,0.00372,2489447
1562375940000,0.0037277,0.0037551,0.0037551,0.0037165,2304385
1562376000000,0.0037551,0.0037352,0.0037567,0.0037352,1426894
1562376060000,0.0037282,0.0037403,0.003755,0.0037282,1978536
1562376120000,0.0037366,0.003704,0.0037366,0.003704,1622239
1562376180000,0.0037279,0.0037468,0.0037468,0.0037265,1804494
1562376240000,0.0037427,0.0037481,0.0037481,0.0037425,166462
1562376300000,0.0037503,0.0037577,0.0037577,0.003745,807419
1562376360000,0.0037577,0.0037624,0.0037702,0.00375,1632577
1562376420000,0.0037702,0.0037846,0.0037852,0.0037694,775082
1562376480000,0.0037844,0.003775,0.0037846,0.003775,1263843
1562376540000,0.0037751,0.0037745,0.0037751,0.0037539,1567009
1562376600000,0.0037538,0.0037503,0.0037571,0.0037503,89928
1562376660000,0.0037536,0.0037511,0.00376,0.0037503,787819
1562376720000,0.0037513,0.003788,0.0037881,0.00374,1254625
1562376780000,0.0037956,0.0038,0.0038,0.0037907,1157584
1562376840000,0.0038,0.0037976,0.0038064,0.0037976,1013047
1562376900000,0.003805,0.0037916,0.0038181,0.0037916,1809937
1562376960000,0.0038028,0.0038029,0.0038029,0.0038028,527235
1562377020000,0.0037949,0.0037945,0.0037994,0.0037495,3244664
1562377080000,0.0037926,0.0037861,0.0038044,0.0037861,954263
1562377140000,0.0037746,0.0037894,0.0037894,0.0037745,873739
1562377200000,0.0037941,0.0038044,0.0038044,0.003794,142892
1562377260000,0.0038044,0.0038044,0.0038044,0.0038044,0
1562377320000,0.0038099,0.0038094,0.0038099,0.0038055,586954
1562377380000,0.0038094,0.003803,0.0038094,0.0038027,682218
1562377440000,0.0037993,0.0038035,0.0038098,0.0037993,229994
1562377500000,0.0038066,0.0038001,0.0038068,0.0038001,216858
1562377560000,0.0038061,0.0038044,0.0038124,0.0038038,1620516
1562377620000,0.0038044,0.0038044,0.0038044,0.0038044,0
1562377680000,0.0038024,0.003799,0.0038024,0.0037973,698116
1562377740000,0.0037979,0.0037887,0.00381,0.0037887,1154703
1562377800000,0.0037899,0.0037854,0.0038046,0.0037854,812531
1562377860000,0.003779,0.0037831,0.0037831,0.0037789,80525
1562377920000,0.0037957,0.0037889,0.0037959,0.003786,176540
1562377980000,0.0037891,0.0037493,0.0037891,0.0037477,1615554
1562378040000,0.0037478,0.0037477,0.0037496,0.0037477,1299551
1562378100000,0.0037471,0.0037488,0.0037659,0.0037403,1369404
1562378160000,0.003749,0.0037401,0.003749,0.0037272,3301970
1562378220000,0.0037389,0.0037499,0.0037519,0.0037345,1182353
1562378280000,0.0037499,0.0037471,0.0037499,0.0037471,12828
1562378340000,0.0037471,0.0037471,0.0037471,0.0037471,0
1562378400000,0.0037394,0.0037471,0.0037665,0.00372,3331868
1562378460000,0.0037437,0.0037471,0.0037497,0.0037407,2059152
1562378520000,0.0037477,0.00373,0.0037537,0.00373,2472857
1562378580000,0.00373,0.0037276,0.0037327,0.0037274,497019
1562378640000,0.003734,0.0037368,0.0037559,0.003734,543527
1562378700000,0.003735,0.0037216,0.003735,0.0037108,2277612
1562378760000,0.00373,0.0037348,0.0037348,0.0037232,496570
1562378820000,0.0037334,0.0037468,0.0037477,0.0037248,2124041
1562378880000,0.0037396,0.0037595,0.0037665,0.0037396,1745353
1562378940000,0.003751,0.0037653,0.0037653,0.0037508,943319
1562379000000,0.0037642,0.0037627,0.0037746,0.003758,329710
1562379060000,0.0037532,0.0037702,0.0037702,0.0037529,1312595
1562379120000,0.0037724,0.0037724,0.0037724,0.0037724,134536
1562379180000,0.0037724,0.0037724,0.0037724,0.0037724,3359
1562379240000,0.0037599,0.0037599,0.0037599,0.0037501,853239
1562379300000,0.0037637,0.0037677,0.0037806,0.0037596,624806
1562379360000,0.0037603,0.0037633,0.0037682,0.0037584,1091847
1562379420000,0.0037635,0.0037616,0.0038,0.0037561,1690505
1562379480000,0.0037666,0.0037584,0.0037672,0.0037578,1588929
1562379540000,0.0037617,0.0037729,0.0037729,0.0037504,830926
1562379600000,0.0037731,0.0037708,0.0037731,0.0037708,313266
1562379660000,0.0037708,0.0037708,0.0037708,0.0037708,109135
1562379720000,0.0037755,0.0037755,0.0037755,0.0037755,110749
1562379780000,0.0037848,0.003805,0.003805,0.0037848,2690950
1562379840000,0.0037921,0.0037943,0.003802,0.0037921,322003
1562379900000,0.0037999,0.003798,0.0037999,0.00379,1591182
1562379960000,0.0037979,0.0038031,0.0038031,0.0037854,1277445
1562380020000,0.0038029,0.0038021,0.0038031,0.0038021,383772
1562380080000,0.0038021,0.0038021,0.0038021,0.0038021,0
1562380140000,0.0038031,0.0038065,0.0038065,0.0038031,1592660
1562380200000,0.0038025,0.0037989,0.0038025,0.0037949,333344
1562380260000,0.0038099,0.0038099,0.0038099,0.0038099,160026
1562380320000,0.0038084,0.0038079,0.0038118,0.0037855,2152397
1562380380000,0.0038078,0.0038066,0.0038105,0.0038042,1047842
1562380440000,0.0038028,0.0038028,0.0038028,0.0038028,96157
1562380500000,0.0038028,0.0038,0.0038028,0.0038,105331
1562380560000,0.0038,0.0038,0.0038,0.0038,5498
1562380620000,0.0038,0.0038012,0.0038012,0.0037937,1589011
1562380680000,0.0037855,0.0037874,0.0037895,0.0037791,76886
1562380740000,0.0037874,0.0037874,0.0037874,0.0037874,2032
1562380800000,0.0037876,0.0037858,0.0037876,0.0037858,178809
1562380860000,0.0037832,0.0037754,0.0037915,0.0037754,241931
1562380920000,0.0037779,0.0037684,0.0037779,0.0037665,408105
1562380980000,0.0037758,0.0037773,0.0037773,0.0037682,251936
1562381040000,0.0037746,0.003769,0.0037746,0.003769,247080
1562381100000,0.0037685,0.00377,0.00377,0.0037683,193185
1562381160000,0.0037684,0.003776,0.0037797,0.003765,1351266
1562381220000,0.003776,0.0037722,0.0037787,0.0037722,1968004
1562381280000,0.0037722,0.0037506,0.0037722,0.0037506,1425600
1562381340000,0.0037561,0.0037515,0.0037561,0.0037515,288455
1562381400000,0.0037583,0.0037587,0.0037588,0.0037583,104141
1562381460000,0.003759,0.003759,0.003759,0.003759,151180
1562381520000,0.0037782,0.0037782,0.0037782,0.0037782,5530
1562381580000,0.0037782,0.0037782,0.0037782,0.0037782,0
1562381640000,0.0037782,0.0037782,0.0037782,0.0037782,0
1562381700000,0.0037639,0.0037637,0.0037639,0.0037637,204980
1562381760000,0.0037624,0.00375,0.0037632,0.00375,1103990
1562381820000,0.0037584,0.00374,0.0037617,0.0037371,1808423
1562381880000,0.00374,0.00374,0.00374,0.003737,1539564
1562381940000,0.0037372,0.0037404,0.0037404,0.0037334,1405047
1562382000000,0.0037404,0.0037373,0.0037415,0.0037373,369856
1562382060000,0.0037475,0.0037475,0.0037475,0.0037475,30195
1562382120000,0.0037476,0.0037476,0.0037476,0.0037476,100899
1562382180000,0.0037476,0.0037476,0.0037476,0.0037476,0
1562382240000,0.0037411,0.003739,0.0037411,0.003739,534196
1562382300000,0.003739,0.003739,0.003739,0.003739,0
